J4_KK5,J1_KK2,MKK,MKK_P,MKK_TOT
33.370000000000005,50.0,241.46437246602915,29.422442597325443,299.99999999999994
33.76,50.0,241.5457356462556,29.23678113644319,300.0
34.15,50.0,241.6217688313732,29.05568516756444,300.0
34.54,50.0,241.69262098105028,28.87900786028193,300.0
34.93,50.0,241.75843522722104,28.706608407348888,300.0
35.32,50.0,241.81934918072878,28.538351714100667,300.0
35.71,50.0,241.87549521983323,28.374108106160392,300.0
36.1,50.0,241.92700075828722,28.213753056906615,300.0
36.49,50.0,241.973988499063,28.057166929774713,300.0
36.88,50.0,242.01657666972628,27.904234737399648,300.0
37.27,50.0,242.05487924702803,27.754845914203614,300.0
37.660000000000004,50.0,242.08900616330385,27.60889410341327,300.0
38.050000000000004,50.0,242.119063504851,27.466276955301137,300.0
38.44,50.0,242.14515369513697,27.32689593825928,300.0
38.83,50.0,242.1673756685275,27.19065616062632,300.0
39.22,50.0,242.18582503427766,27.057466201688438,300.0
39.61,50.0,242.20059422951942,26.927237952927094,300.0
40.0,50.0,242.21177266454518,26.79988646886205,300.0
,,,,
1.0,60.0,107.85421800494143,168.0935621645631,300.0
1.3900000000000001,60.0,115.07075530144014,160.74919085816674,300.0
1.78,60.0,122.18816568292816,153.5050283744721,300.0
2.17,60.0,129.10520072665744,146.462353262504,300.0
2.56,60.0,135.74093295604575,139.7020094432211,300.0
2.95,60.0,142.0380149817996,133.28117560317432,300.0
3.34,60.0,147.96197935164273,127.23409676876906,300.0
3.73,60.0,153.49794938659417,121.57540125151402,300.0
4.12,60.0,158.64623707817708,116.30452377206335,300.0
4.51,60.0,163.41793095848416,111.41013149660316,300.0
4.9,60.0,167.83108801688294,106.87394007172148,300.0
5.29,60.0,171.90775167866784,102.67369927505518,300.0
5.68,60.0,175.67177979958058,98.78536584011685,300.0
6.07,60.0,179.14735669996725,95.18459059806557,300.0
6.46,60.0,182.35803391167224,91.8476760668577,300.0
6.8500000000000005,60.0,185.3261556045455,88.75214902923821,300.0
7.24,60.0,188.07255122612932,85.87706586306953,300.0
7.63,60.0,190.6164064214333,83.20313971534607,300.0
8.02,60.0,192.97524812803923,80.7127536970842,300.0
8.41,60.0,195.16499926581412,78.38990470241018,300.0
8.8,60.0,197.2000729088276,76.22010795974064,300.0
9.19,60.0,199.0934861392118,74.19028209748876,300.0
9.58,60.0,200.85698093160858,72.28862735252632,300.0
9.97,60.0,202.50114426624776,70.50450469929565,300.0
10.36,60.0,204.0355228968747,68.82832045061512,300.0
10.75,60.0,205.46873030888156,67.2514187744159,300.0
11.14,60.0,206.8085447523767,65.76598322387129,300.0
11.530000000000001,60.0,208.0619980754939,64.36494754041516,300.0
11.92,60.0,209.23545558727437,63.041915487482036,300.0
12.31,60.0,210.33468746395386,61.791089190354654,300.0
12.700000000000001,60.0,211.36493235607114,60.60720531573111,300.0
13.09,60.0,212.33095390882627,59.48547837110944,300.0
13.48,60.0,213.23709090898322,58.42155040448693,300.0
13.870000000000001,60.0,214.08730174103928,57.41144641650264,300.0
14.26,60.0,214.885203787835,56.45153484557881,300.0
14.65,60.0,215.63410835545605,55.538492542665296,300.0
15.040000000000001,60.0,216.33705313407413,54.66927226163934,300.0
15.43,60.0,216.9968235420827,53.84108107133168,300.0
15.82,60.0,217.6159866510553,53.05134660125545,300.0
16.21,60.0,218.1969063300639,52.297701663741194,300.0
16.6,60.0,218.74176426956836,51.57796320764783,300.0
16.990000000000002,60.0,219.2525771955142,50.89011503621244,300.0
17.38,60.0,219.73121223447546,50.23229238380716,300.0
17.77,60.0,220.1794006422703,49.60276812551111,300.0
18.16,60.0,220.59875008458346,48.9999404350629,300.0
18.55,60.0,220.99075563445203,48.42232172618509,300.0
18.94,60.0,221.35680964757765,47.868528718884285,300.0
19.330000000000002,60.0,221.6982106204326,47.33727351667722,300.0
19.72,60.0,222.01617116499162,46.827355571013925,300.0
20.11,60.0,222.3118251911375,46.337654435312345,300.0
20.5,60.0,222.58623438126546,45.867123227542805,300.0
20.89,60.0,222.84039403875937,45.4147827164652,300.0
21.28,60.0,223.0752383732742,44.979715971180056,300.0
21.67,60.0,223.29164529205957,44.56106350607392,300.0
22.060000000000002,60.0,223.49044073614394,44.158018876763926,300.0
22.45,60.0,223.67240262152325,43.76982467520251,300.0
22.84,60.0,223.8382644193948,43.395768882452664,300.0
23.23,60.0,223.98871841199187,43.03518154803351,300.0
23.62,60.0,224.12441866576722,42.687431753279384,300.0
24.01,60.0,224.24598373561366,42.35192484010824,300.0
24.400000000000002,60.0,224.35399913883955,42.02809987454419,300.0
24.79,60.0,224.44901962205418,41.715427320515566,300.0
25.18,60.0,224.53157122984487,41.413406906863145,300.0
25.57,60.0,224.60215320195826,41.121565669249,300.0
25.96,60.0,224.66123972506594,40.8394561452632,300.0
26.35,60.0,224.70928153139073,40.566654715611385,300.0
26.740000000000002,60.0,224.74670737272086,40.30276007441288,300.0
27.130000000000003,60.0,224.7739253827523,40.04739181652459,300.0
27.52,60.0,224.79132433441848,39.80018912941636,300.0
27.91,60.0,224.79927479225893,39.56080958879505,300.0
28.3,60.0,224.79813018943452,39.32892803749911,300.0
28.69,60.0,224.78822782094605,39.10423554731456,300.0
29.080000000000002,60.0,224.76988976273088,38.88643845708432,300.0
29.470000000000002,60.0,224.74342372623153,38.67525747763651,300.0
29.86,60.0,224.7091238529536,38.470426858458175,300.0
